provider	URL	course	webinar_date	webinar_duration	webinare_title
Other	https://kinescope.io/embed/201003445	Other	2022-03-30T11:15:53+00:00	PT56M15.903S	Реактивные микросервисы с Apache Kafka / Денис Иванов (2ГИС)
Other	https://kinescope.io/embed/201003447	Other	2022-03-30T11:15:53+00:00	PT52M53.054S	Микросервисный фронтенд / Вячеслав Слинько (ЦИАН)
Other	https://kinescope.io/embed/201003449	Other	2022-03-30T11:15:54+00:00	PT55M18.248S	Введение в блокчейн и алгоритмы консенсуса / Филипп Филиппак (Waves Platform)
Other	https://kinescope.io/embed/201003451	Other	2022-03-30T11:15:54+00:00	PT47M59.693S	Метаданные для кластера
Other	https://kinescope.io/embed/201003453	Other	2022-03-30T11:15:54+00:00	PT51M13.649S	Как создать дата-платформу с нуля / Павел Тарасов (ЦИАН)
Other	https://kinescope.io/embed/201003455	Other	2022-03-30T11:15:54+00:00	PT51M47.295S	Lambda architecture для realtime-аналитики — риски и преимущества / Николай Голов (Avito)
Other	https://kinescope.io/embed/201003457	Other	2022-03-30T11:15:54+00:00	PT58M58.536S	СТО
Other	https://kinescope.io/embed/201003459	Other	2022-03-30T11:15:54+00:00	PT56M5.988S	Как общаться с подчиненными и оставаться друзьями / Александр Зиза, Вирна Штерн (Алетейя Бизнес)
Other	https://kinescope.io/embed/201003461	Other	2022-03-30T11:15:55+00:00	PT56M35.501S	Как стать тимлидом / Андрей Рыжкин (AGIMA)
Other	https://kinescope.io/embed/201003463	Other	2022-03-30T11:15:55+00:00	PT55M31.298S	Команда как высоконагруженная система / Антон Потапов (Ingram Micro)
Other	https://kinescope.io/embed/201003465	Other	2022-03-30T11:15:55+00:00	PT50M49.5S	Опыт разработки, отладки и внедрения системы горячего резервирования торговой системы / С.Костанбаев
Other	https://kinescope.io/embed/201003467	Other	2022-03-30T11:15:55+00:00	PT53M47.551S	Распределенный отказоустойчивый сервис финансовых транзакций / Алексей Бурылов (Qiwi)
Other	https://kinescope.io/embed/201003469	Other	2022-03-30T11:15:55+00:00	PT54M5.663S	Архитектура платежной системы
Other	https://kinescope.io/embed/201003471	Other	2022-03-30T11:15:55+00:00	PT53M12.582S	NoSQL Best Practices for PostgreSQL / Дмитрий Долгов (Mindojo)
Other	https://kinescope.io/embed/201003473	Other	2022-03-30T11:15:55+00:00	PT43M38.747S	Нереляционный SQL / Андрей Николаенко (IBS)
Other	https://kinescope.io/embed/201003475	Other	2022-03-30T11:15:56+00:00	PT56M29.185S	Cassandra для хранения метаданных
Other	https://kinescope.io/embed/201003477	Other	2022-03-30T11:15:56+00:00	PT46M37.657S	WAMP[-proto] как основа композитных SOA-приложений / Константин Буркалев (РКСС)
Other	https://kinescope.io/embed/201003479	Other	2022-03-30T11:15:56+00:00	PT28M30.498S	How packagecloud.io works / Julio Capote (packagecloud.io)
Other	https://kinescope.io/embed/201003481	Other	2022-03-30T11:15:56+00:00	PT52M48.131S	Разработка портируемой инфраструктуры New Relic / Михаил Панченко (New Relic)
Other	https://kinescope.io/embed/201003483	Other	2022-03-30T11:15:56+00:00	PT52M1.227S	Длинная транзакция или когда размер имеет значение / Михаил Балаян (Odin — Ingram Micro)
Other	https://kinescope.io/embed/201003485	Other	2022-03-30T11:15:56+00:00	PT43M50.427S	Distributed Postgres with Citus / Will Leinweber (PostgreSQL)
Other	https://kinescope.io/embed/201003487	Other	2022-03-30T11:15:57+00:00	PT48M51.775S	В ногу со временем, или как делать upgrade PostgreSQL / Андрей Сальников (Data Egret)
Other	https://kinescope.io/embed/201003489	Other	2022-03-30T11:15:57+00:00	PT1H50M18.709S	Логическая репликация и Avito / К.Евтеев
Other	https://kinescope.io/embed/201003491	Other	2022-03-30T11:15:57+00:00	PT49M11.814S	Отладка и устранение проблем в PostgreSQL Streaming Replication / Алексей Лесовский (DataEgret)
Other	https://kinescope.io/embed/201003493	Other	2022-03-30T11:15:57+00:00	PT46M31.712S	pg_shardman
Other	https://kinescope.io/embed/201003495	Other	2022-03-30T11:15:57+00:00	PT39M49.055S	Масштабируя DNS / Артем Гавриченков (Qrator Labs)
Other	https://kinescope.io/embed/201003497	Other	2022-03-30T11:15:57+00:00	PT55M34.502S	One-cloud — система управления дата-центром в Одноклассниках / Олег Анастасьев (Одноклассники)
Other	https://kinescope.io/embed/201003499	Other	2022-03-30T11:15:57+00:00	PT57M35.71S	Дезагрегация и открытость в сетях Ethernet / А.Петровский (Mellanox Technologies), Д.Криков (NGENIX)
Other	https://kinescope.io/embed/201003501	Other	2022-03-30T11:15:58+00:00	PT53M41.63S	Создание BigData-платформы для ФГУП Почта России / Андрей Бащенко (Luxoft)
Other	https://kinescope.io/embed/201003503	Other	2022-03-30T11:15:58+00:00	PT59M28.954S	Схематизация в практике решения управленческих задач / Павел Мрдуляш (РАНХиГС)
Other	https://kinescope.io/embed/201003505	Other	2022-03-30T11:15:58+00:00	PT56M56.143S	Все, что тимлид должен знать о найме и увольнении / Степан Овчинников (ИНТЕРВОЛГА)
Other	https://kinescope.io/embed/201003507	Other	2022-03-30T11:15:58+00:00	PT36M8.303S	Масштабирование сети VR-аттракционов CinemaVR / Андрей Татаринов (VRTech)
Other	https://kinescope.io/embed/201003509	Other	2022-03-30T11:15:58+00:00	PT59M19.829S	Применение блокчейна в RTB / Александр Швец (Papyrus)
Other	https://kinescope.io/embed/201003511	Other	2022-03-30T11:15:58+00:00	PT51M1.134S	Looking for the Holy Grail of Mobile Web Performance / Adam Bar (whatwebcando.today)
Other	https://kinescope.io/embed/201003513	Other	2022-03-30T11:15:59+00:00	PT27M15.568S	High speed load balancing from the Linux Kernel / Laura Garcia Liebana (Zevenet)
Other	https://kinescope.io/embed/201003515	Other	2022-03-30T11:15:59+00:00	PT46M19.104S	Linux kernel TLS и HTTPS / Александр Крижановский (Tempesta Technologies)
Other	https://kinescope.io/embed/201003517	Other	2022-03-30T11:15:59+00:00	PT52M28.742S	Новые технологии репликации данных в PostgreSQL / Александр Алексеев (Postgres Professional)
Other	https://kinescope.io/embed/201003519	Other	2022-03-30T11:15:59+00:00	PT52M22.496S	PostgreSQL Configuration for Humans / Alvaro Hernandez (OnGres)
Other	https://kinescope.io/embed/201003522	Other	2022-03-30T11:15:59+00:00	PT50M32.898S	Inexpensive Datamasking for MySQL with ProxySQL / Rene Cannao (ProxySQL)
Other	https://kinescope.io/embed/201003524	Other	2022-03-30T11:15:59+00:00	PT32M9.532S	Опыт разработки модуля межсетевого экранирования для MySQL / О.Брославский, Д.Колегов
Other	https://kinescope.io/embed/201003526	Other	2022-03-30T11:16:00+00:00	PT55M5.988S	ProxySQL Use Case Scenarios / Alkin Tezuysal (Percona)
Other	https://kinescope.io/embed/201003528	Other	2022-03-30T11:16:00+00:00	PT49M9.167S	MySQL Replication — Advanced Features / Петр Зайцев (Percona)
Other	https://kinescope.io/embed/201003530	Other	2022-03-30T11:16:00+00:00	PT56M7.428S	Внутренний open-source / Павел Соломин (Сбербанк-Онлайн)
Other	https://kinescope.io/embed/201003532	Other	2022-03-30T11:16:00+00:00	PT51M0.019S	Вся власть Советам или комитетная разработка в тестировании / Нина Щеглова (Лазада)
Other	https://kinescope.io/embed/201003534	Other	2022-03-30T11:16:00+00:00	PT39M25.092S	Готовим тестовое окружение, или сколько тестовых инстансов вам нужно / Александр Дубровин (Superjob)
Other	https://kinescope.io/embed/201003536	Other	2022-03-30T11:16:00+00:00	PT1H9M4.252S	Goth2Boss
Other	https://kinescope.io/embed/201003538	Other	2022-03-30T11:16:00+00:00	PT1H0M47.623S	Key transparency
Other	https://kinescope.io/embed/201003540	Other	2022-03-30T11:16:01+00:00	PT52M43.696S	Пиксельные шейдеры для Web-разработчиков / Денис Радин (Liberty Global)
Other	https://kinescope.io/embed/201003542	Other	2022-03-30T11:16:01+00:00	PT52M41.142S	Машинное обучение в электронной коммерции / Александр Сербул (1С-Битрикс)
Other	https://kinescope.io/embed/201003544	Other	2022-03-30T11:16:01+00:00	PT39M33.823S	Определение атрибутов и визуальный поиск в UGC-фотографиях одежды / Дмитрий Соловьев (Mail.ru Group)
Other	https://kinescope.io/embed/201003546	Other	2022-03-30T11:16:01+00:00	PT51M31.412S	Face Recognition
Other	https://kinescope.io/embed/201003548	Other	2022-03-30T11:16:01+00:00	PT59M6.222S	Вычисляем по IP
Other	https://kinescope.io/embed/201003550	Other	2022-03-30T11:16:01+00:00	PT44M57.23S	Обнаружение аномалий во временных рядах / Павел Филонов (Лаборатория Касперского)
Other	https://kinescope.io/embed/201003552	Other	2022-03-30T11:16:02+00:00	PT47M8.47S	Поиск паттернов (Data Mining
Other	https://kinescope.io/embed/201003554	Other	2022-03-30T11:16:02+00:00	PT50M54.771S	5 boring performance improvements in MongoDB 3.4 that matter / Henrik Ingo (MongoDB)
Other	https://kinescope.io/embed/201003556	Other	2022-03-30T11:16:02+00:00	PT49M29.066S	Балансировка на скорости проводов  / Андрей Домась, Вячеслав Морозов
Other	https://kinescope.io/embed/201003558	Other	2022-03-30T11:16:02+00:00	PT51M5.894S	Перехват трафика — мифы и реальность / Евгений Усков (Qrator Labs)
Other	https://kinescope.io/embed/201003560	Other	2022-03-30T11:16:02+00:00	PT48M27.232S	Measuring performance variabillity of EC2 / Henrik Ingo
Other	https://kinescope.io/embed/201003562	Other	2022-03-30T11:16:02+00:00	PT32M38.929S	И тогда наверняка вдруг запляшут облака! / Алексей Сушков (ПЕТЕР-СЕРВИС)
Other	https://kinescope.io/embed/201003564	Other	2022-03-30T11:16:02+00:00	PT46M10.42S	Prometheus как time series database / Тимур Нурутдинов (Lamoda)
Other	https://kinescope.io/embed/201003566	Other	2022-03-30T11:16:03+00:00	PT45M7.308S	Как мы заставили Druid работать в Одноклассниках / Юрий Невиницин (OK.RU)
Other	https://kinescope.io/embed/201003568	Other	2022-03-30T11:16:03+00:00	PT44M36.007S	Infrastructure as code might be literally impossible / Joe Domato (packagecloud.io)
Other	https://kinescope.io/embed/201003570	Other	2022-03-30T11:16:03+00:00	PT42M45.829S	Climbing out from the digital mud with unikernels / Ian Eyberg (DeferPanic)
Other	https://kinescope.io/embed/201003572	Other	2022-03-30T11:16:03+00:00	PT51M34.57S	Эксплуатация container-based-инфраструктур / Николай Сивко (okmeter.io)
Other	https://kinescope.io/embed/201003574	Other	2022-03-30T11:16:03+00:00	PT51M16.668S	Гибкая схема хранения данных в MySQL (JSON) / Александр Рубин
Other	https://kinescope.io/embed/201003576	Other	2022-03-30T11:16:03+00:00	PT53M8.936S	Why are we excited about MySQL 8? / Петр Зайцев (Percona)
Other	https://kinescope.io/embed/201003579	Other	2022-03-30T11:16:03+00:00	PT49M0.529S	Protecting the Web at a scale using consul and Elk / Valentin Chernozemski (SiteGround)
Other	https://kinescope.io/embed/201003581	Other	2022-03-30T11:16:04+00:00	PT35M49.17S	Fraud in mobile applications
Other	https://kinescope.io/embed/201003583	Other	2022-03-30T11:16:04+00:00	PT35M32.659S	CSRF-уязвимости все еще актуальны / Михаил Егоров (Odin — Ingram Micro)
Other	https://kinescope.io/embed/201003585	Other	2022-03-30T11:16:04+00:00	PT44M48.384S	Оптимизации поисковой выдачи Яндекса / Иван Хватов, Сергей Ляджин (Яндекс)
Other	https://kinescope.io/embed/201003587	Other	2022-03-30T11:16:04+00:00	PT56M43.303S	Состояние Состояния / Алексей Охрименко (IPONWEB)
Other	https://kinescope.io/embed/201003589	Other	2022-03-30T11:16:04+00:00	PT46M29.623S	Rethinking Relational Database CRUD Design Patterns Since We Live in a Big Data World / Chris Bohn
Other	https://kinescope.io/embed/201003591	Other	2022-03-30T11:16:04+00:00	PT59M44.372S	Распознавание облаков и теней на спутниковых изображениях / Анатолий Филин (Грамант)
Other	https://kinescope.io/embed/201003593	Other	2022-03-30T11:16:04+00:00	PT46M46.62S	Хранимые процедуры в NoSQL СУБД на примере Tarantool / Денис Линник (Mail.Ru)
Other	https://kinescope.io/embed/201003595	Other	2022-03-30T11:16:05+00:00	PT23M20.814S	Синхронизация данных из PgSQL в Tarantool / Вениамин Гвоздиков (Calltouch)
Other	https://kinescope.io/embed/201003597	Other	2022-03-30T11:16:05+00:00	PT37M52.677S	Dataplane networking acceleration with OpenDataplane / Максим Уваров (Linaro)
Other	https://kinescope.io/embed/201003599	Other	2022-03-30T11:16:05+00:00	PT55M58.07S	Как мы сделали игру для HL++ с воксельной графикой / Александр Хаеров (Ingram Micro)
Other	https://kinescope.io/embed/201003601	Other	2022-03-30T11:16:05+00:00	PT59M52.592S	BigПочта
Other	https://kinescope.io/embed/201003603	Other	2022-03-30T11:16:05+00:00	PT54M10.051S	libfpta — обгоняя SQLite и Tarantool / Леонид Юрьев (Positive Technologies)
Other	https://kinescope.io/embed/201003605	Other	2022-03-30T11:16:05+00:00	PT46M54.329S	Отказоустойчивая архитектура фронтальной системы банка / Р.Шеховцов, А.Громатчиков
Other	https://kinescope.io/embed/201003607	Other	2022-03-30T11:16:06+00:00	PT29M27.991S	Как построить кластер для расчета сотен тысяч high-CPU/high-MEM-задач / Александр Кириллов (Evrone)
Other	https://kinescope.io/embed/201003609	Other	2022-03-30T11:16:06+00:00	PT34M27.087S	Building a WebScale Search Engine with a Data Driven Architecture / Tarek Sheasha (Booking.com)
Other	https://kinescope.io/embed/201003611	Other	2022-03-30T11:16:06+00:00	PT35M10.393S	Честное перформанс-тестирование / Дмитрий Пивоваров (ZeroTurnaround)
Other	https://kinescope.io/embed/201003613	Other	2022-03-30T11:16:06+00:00	PT49M52.937S	Сложности performance-тестирования / Андрей Акиньшин (JetBrains)
Other	https://kinescope.io/embed/201003615	Other	2022-03-30T11:16:06+00:00	PT44M38.538S	Трансформация DevOps — прошибая стены / Константин Пакулин (Odin)
Other	https://kinescope.io/embed/201003617	Other	2022-03-30T11:16:06+00:00	PT52M13.301S	DevOps-трансформация Альфа-Банка / Антон Исанин (Альфа-Банк)
Other	https://kinescope.io/embed/201003619	Other	2022-03-30T11:16:06+00:00	PT56M58.094S	Разгоняем ASP.NET Core / Илья Вербицкий (WebStoating s.r.o.)
Other	https://kinescope.io/embed/201003621	Other	2022-03-30T11:16:07+00:00	PT41M21.656S	Реализация системы отслеживания заказов / Равиль Гарафутдинов (VoltMobi)
Other	https://kinescope.io/embed/201003623	Other	2022-03-30T11:16:07+00:00	PT26M0.381S	Как тестировать производительность гиперковергентных систем? / Роман Хмелевский (Nutanix)
Other	https://kinescope.io/embed/201003625	Other	2022-03-30T11:16:07+00:00	PT54M47.737S	Анализ производительности мобильных приложений / Николай Москаленко (Atlassian)
Other	https://kinescope.io/embed/201003627	Other	2022-03-30T11:16:07+00:00	PT41M51.866S	100500 способов кэширования в Oracle Database / Александр Токарев (DataArt)
Other	https://kinescope.io/embed/201003629	Other	2022-03-30T11:16:07+00:00	PT58M36.825S	Apache Ignite Persistence / Артем Шитов (GridGain)
Other	https://kinescope.io/embed/201003631	Other	2022-03-30T11:16:07+00:00	PT47M41.651S	Механизмы мониторинга баз данных
Other	https://kinescope.io/embed/201003633	Other	2022-03-30T11:16:08+00:00	PT57M16.623S	Java и Linux — особенности эксплуатации / Алексей Рагозин (Дойче Банк)
Other	https://kinescope.io/embed/201003635	Other	2022-03-30T11:16:08+00:00	PT33M6.305S	Как мы учились чинить самолеты в воздухе / Евгений Коломеец (Virtuozzo)
Other	https://kinescope.io/embed/201003637	Other	2022-03-30T11:16:08+00:00	PT49M45.297S	Тонкости работы трассирующего JIT-компилятора / Антон Солдатов (IPONWEB)
Other	https://kinescope.io/embed/201003639	Other	2022-03-30T11:16:08+00:00	PT54M2.296S	Мультиплеер на Go+Lua / Sergey Lerg (Spiral Code Studio)
Other	https://kinescope.io/embed/201003641	Other	2022-03-30T11:16:08+00:00	PT38M35.1S	Использование Ubuntu Core для интернета вещей в продакшне / Ренат Галимов (Screenly, Inc.)
Other	https://kinescope.io/embed/201003643	Other	2022-03-30T11:16:08+00:00	PT51M43.789S	Делаем свою прошивку для IP-камеры на Rust / Максим Лапшин (Erlyvideo)
Other	https://kinescope.io/embed/201003645	Other	2022-03-30T11:16:08+00:00	PT39M28.088S	Columnar Table Performance Enhancements Of Greenplum Database / Xiaojian Fan (Alibaba Cloud)
Other	https://kinescope.io/embed/201003647	Other	2022-03-30T11:16:09+00:00	PT47M20.103S	PostgreSQL worst practices / Илья Космодемьянский (Data Egret)
Other	https://kinescope.io/embed/201003649	Other	2022-03-30T11:16:09+00:00	PT46M21.89S	Оптимизация high-contention write в PostgreSQL / И.Панченко, О.Бартунов (Postgres Professional)
Other	https://kinescope.io/embed/201003651	Other	2022-03-30T11:16:09+00:00	PT55M4.781S	Лучшие практики CI/CD с Kubernetes и GitLab / Дмитрий Столяров (Флант)
Other	https://kinescope.io/embed/201003653	Other	2022-03-30T11:16:09+00:00	PT45M2.432S	Настройка kubernetes
Other	https://kinescope.io/embed/201003655	Other	2022-03-30T11:16:09+00:00	PT47M34.987S	Logging and ranting / Vytis Valentinavičius (Lamoda)
Other	https://kinescope.io/embed/201003657	Other	2022-03-30T11:16:09+00:00	PT42M11.928S	Карта граблей на поле сбора и доставки логов. Lazada-way / Юрий Бушмелев (Lazada)
Other	https://kinescope.io/embed/201003659	Other	2022-03-30T11:16:10+00:00	PT38M38.931S	Технологии хранения для больших проектов / Сергей Платонов (RAIDIX)
Other	https://kinescope.io/embed/201003661	Other	2022-03-30T11:16:10+00:00	PT52M9.052S	Хочу все сжать / Андрей Аксенов (Sphinx)
Other	https://kinescope.io/embed/201003663	Other	2022-03-30T11:16:10+00:00	PT48M28.857S	Инцидент-менеджмент в Badoo / Илья Аблеев (Badoo)
Other	https://kinescope.io/embed/201003665	Other	2022-03-30T11:16:10+00:00	PT50M53.216S	Как обслужить миллиард пользователей и отдать терабит трафика / Игорь Васильев (ПАО Сбербанк России)
Other	https://kinescope.io/embed/201003667	Other	2022-03-30T11:16:10+00:00	PT51M53.262S	Защищаемость от DDoS на этапе проектирования системы / Рамиль Хантимиров (StormWall)
Other	https://kinescope.io/embed/201003669	Other	2022-03-30T11:16:10+00:00	PT45M42.927S	Алексей Акулович на HL++ 2017
Other	https://kinescope.io/embed/201003671	Other	2022-03-30T11:16:10+00:00	PT44M14.297S	Beyond WHERE and GROUP BY / Сергей Голубчик (MariaDB Corporation)
Other	https://kinescope.io/embed/201003673	Other	2022-03-30T11:16:11+00:00	PT45M47.177S	Как развивать библиотеку компонентов, не ломая ее / Артур Удалов (Mail.Ru Group)
Other	https://kinescope.io/embed/201003675	Other	2022-03-30T11:16:11+00:00	PT35M0.106S	Чем заняться вечером, если я знаю сколько будет ++i + ++i / Андрей Бородин (Yandex)
Other	https://kinescope.io/embed/201003677	Other	2022-03-30T11:16:11+00:00	PT57M53.056S	Как пережить запуск онлайн-игры и справиться с мертвыми душами / Андрей Трифанов
Other	https://kinescope.io/embed/201003679	Other	2022-03-30T11:16:11+00:00	PT43M11.394S	Нейронные сети
Other	https://kinescope.io/embed/201003681	Other	2022-03-30T11:16:11+00:00	PT46M32.548S	Gobblin как ETL-фреймворк / Иван Ахлестин (Rambler&amp;Co)
Other	https://kinescope.io/embed/201003683	Other	2022-03-30T11:16:11+00:00	PT42M26.301S	Подробно о том, как Causal Consistency реализовано в MongoDB / Михаил Тюленев (MongoDB)
Other	https://kinescope.io/embed/201003685	Other	2022-03-30T11:16:12+00:00	PT50M33.13S	Безболезненный Fallback cache на Scala / Олег Нижников (Tinkoff.ru)
Other	https://kinescope.io/embed/201003694	Other	2022-03-30T11:16:48+00:00	PT3M7.362S	Видеоотчет о HighLoad++ Siberia 2018
Other	https://kinescope.io/embed/201003696	Other	2022-03-30T11:16:48+00:00	PT40M26.091S	Надежное взаимодействие в распределенных системах / Михаил Курмаев (Badoo)
Other	https://kinescope.io/embed/201003698	Other	2022-03-30T11:16:48+00:00	PT42M17.268S	Целостность данных в микросервисной архитектуре / Николай Голов (Avito)
Other	https://kinescope.io/embed/201003700	Other	2022-03-30T11:16:48+00:00	PT47M46.04S	PG Saga
Other	https://kinescope.io/embed/201003702	Other	2022-03-30T11:16:48+00:00	PT48M23.842S	Как VK вставляет данные в ClickHouse с десятков тысяч серверов / Юрий Насретдинов (ВКонтакте)
Other	https://kinescope.io/embed/201003707	Other	2022-03-30T11:16:49+00:00	PT43M53.631S	Machine learning @ booking.com / Виктор Билык (booking.com)
Other	https://kinescope.io/embed/201003709	Other	2022-03-30T11:16:49+00:00	PT31M29.199S	Многорукие бандиты в рекомендациях / Михаил Каменщиков  (Avito)
Other	https://kinescope.io/embed/201003711	Other	2022-03-30T11:16:49+00:00	PT55M36.801S	Распознавание речи
Other	https://kinescope.io/embed/201003713	Other	2022-03-30T11:16:49+00:00	PT33M47.799S	Мониторинг облачной инфраструктуры / Михаил Прокопчук (Avito)
Other	https://kinescope.io/embed/201003715	Other	2022-03-30T11:16:49+00:00	PT41M26.927S	Эволюция инструментов и сервисов в Badoo / Антон Турецкий (Badoo)
Other	https://kinescope.io/embed/201003717	Other	2022-03-30T11:16:49+00:00	PT53M8.89S	Миллион видеозвонков в сутки или позвони маме / Александр Тоболь (Одноклассники)
Other	https://kinescope.io/embed/201003719	Other	2022-03-30T11:16:49+00:00	PT43M54.258S	Система сбора подробной статистики работы узлов CDN / Евгений Россинский (ivi)
Other	https://kinescope.io/embed/201003721	Other	2022-03-30T11:16:50+00:00	PT50M28.161S	Высокопроизводительная графовая база данных на основе Couchbase / Дмитрий Леванов (Яндекс)
Other	https://kinescope.io/embed/201003723	Other	2022-03-30T11:16:50+00:00	PT59M36.617S	Подход к Continuous Deployment в микросервисной архитектуре / Алексей Баитов (2ГИС)
Other	https://kinescope.io/embed/201003725	Other	2022-03-30T11:16:50+00:00	PT54M53.937S	Учимся немного ранжировать / Андрей Аксенов (Sphinx)
Other	https://kinescope.io/embed/201003727	Other	2022-03-30T11:16:50+00:00	PT45M7.494S	Архитектура и производительность фронтенда / Павел Павелко (Яндекс)
Other	https://kinescope.io/embed/201003729	Other	2022-03-30T11:16:50+00:00	PT52M51.219S	История миграций ИБСО. Как работать с Oracle от 7-ми до 18-ти / Иван Шаров (ЦФТ)
Other	https://kinescope.io/embed/201003731	Other	2022-03-30T11:16:50+00:00	PT49M0.065S	Событийная архитектура распределенных систем на базе NServiceBus / Борис Тверитнев (DABY Tech OÜ)
Other	https://kinescope.io/embed/201003733	Other	2022-03-30T11:16:50+00:00	PT46M2.687S	Ускоряем разжатие LZ4 / Алексей Миловидов (Яндекс)
